num,country,CNTRY_CODE,2000,2013,Percent,Type
108,Nepal,NPL,3.1,5.1,0.66,CTRY
109,Pakistan,PAK,96.0,134.8,0.41,CTRY
110,Philippines,PHL,68.1,89.6,0.32,CTRY
111,Singapore,SGP,42.1,46.6,0.11,CTRY
112,Sri Lanka,LKA,10.5,13.7,0.31,CTRY
113,"China, Republic of (Taiwan)",TWN,214.3,248.7,0.16,CTRY
114,Thailand,THA,152.3,247.4,0.62,CTRY
115,Vietnam,VNM,44.2,130.1,1.94,CTRY
116,Other Asia,OTAI,11.4,38.8,2.40,ECON
117,Asia (excl. China),ASIA,2021.9,3606.6,0.78,ECON
118,China,CHN,3259.3,8977.1,1.75,CTRY
119,"Hong Kong, China",HKG,40.3,46.0,0.14,CTRY
120,"China (incl. Hong Kong, China)",CHNA,3299.7,9023.1,1.73,ECON
121,Argentina,ARG,139.3,182.3,0.31,CTRY
122,Bolivia,BOL,7.1,17.3,1.43,CTRY
123,Brazil,BRA,292.3,452.4,0.55,CTRY
124,Colombia,COL,54.2,68.3,0.26,CTRY
125,Costa Rica,CRI,4.5,7.1,0.59,CTRY
126,Cuba,CUB,27.3,29.8,0.09,CTRY
127,Curacao,CUW,5.6,4.5,-0.21,CTRY
128,Dominican Republic,DOM,16.2,19.7,0.21,CTRY
129,Ecuador,ECU,18.1,39.5,1.18,CTRY
130,El Salvador,SLV,5.2,5.8,0.12,CTRY
131,Guatemala,GTM,8.6,12.2,0.42,CTRY
132,Haiti,HTI,1.4,2.2,0.57,CTRY
133,Honduras,HND,4.5,8.5,0.88,CTRY
134,Jamaica,JAM,9.8,7.5,-0.24,CTRY
135,Nicaragua,NIC,3.5,4.2,0.19,CTRY
136,Panama,PAN,4.9,9.2,0.89,CTRY
137,Paraguay,PRY,3.3,4.9,0.50,CTRY
138,Peru,PER,26.4,45.5,0.72,CTRY
139,Trinidad and Tobago,TTO,10.1,23.0,1.27,CTRY
140,Uruguay,URY,5.1,7.1,0.40,CTRY
141,Venezuela,VEN,116.2,155.6,0.34,CTRY
142,Other Non-OECD Americas,OTAM,15.1,21.1,0.40,ECON
143,Non-OECD Americas,NOAM,778.8,1127.6,0.45,ECON
144,Bahrain,BHR,15.8,28.3,0.79,CTRY
145,Iran,IRN,312.2,525.9,0.68,CTRY
146,Iraq,IRQ,70.8,138.0,0.95,CTRY
147,Jordan,JOR,14.4,22.8,0.58,CTRY
148,Kuwait,KWT,46.3,84.1,0.82,CTRY
149,Lebanon,LBN,14.0,20.6,0.47,CTRY
150,Oman,OMN,20.4,57.9,1.84,CTRY
151,Qatar,QAT,21.3,72.4,2.41,CTRY
152,Saudi Arabia,SAU,234.6,472.4,1.01,CTRY
153,Syria,SYR,37.0,33.5,-0.10,CTRY
154,United Arab Emirates,ARE,85.5,167.6,0.96,CTRY
155,Yemen,YEM,13.3,23.9,0.79,CTRY
156,Middle East,MDES,885.6,1647.5,0.86,ECON
157,European Union,EU28,3782.2,3340.1,-0.12,ECON
158,G7,GG07,9433.5,8753.2,-0.07,ECON
159,G8,GG08,10907.7,10296.3,-0.06,ECON
160,G20,GG20,19279.9,26314.7,0.36,ECON
161,World,WWWW,23321.6,32189.7,0.38,ECON
