date	2006	2007	2008	2009	2010	2011	2012	2013	2006	2007	2008	2009	2010	2011	2012	2013
Canada	0.00	29.97	14.60	-20.06	-8.99	0.21	-0.29	12.09	0.00	0.76	0.11	-1.10	-0.94	-0.82	-1.02	-0.84
Chile	0.00	7.39	10.85	8.53	12.93	19.63	21.55	26.35	0.00	0.41	0.58	0.40	0.63	0.97	1.04	1.26
Mexico	0.00	14.66	8.28	5.32	23.36	37.66	43.10	61.15	0.00	0.09	-0.02	-0.09	0.02	0.10	0.10	0.21
United States	0.00	84.20	-90.04	-481.80	-246.18	-382.62	-569.99	-481.96	0.00	0.10	-0.65	-2.08	-1.46	-2.02	-2.73	-2.57
Australia	0.00	9.93	12.50	18.16	8.73	9.18	10.65	12.36	0.00	0.14	-0.13	-0.20	-0.89	-1.13	-1.36	-1.57
Israel	0.00	2.26	2.47	1.85	6.43	5.51	12.77	6.18	0.00	0.15	0.02	-0.21	0.23	-0.05	0.71	-0.28
Japan	0.00	37.75	-45.94	-106.72	-56.99	-5.17	34.16	51.99	0.00	0.28	-0.37	-0.85	-0.46	-0.04	0.29	0.45
Korea	0.00	12.70	24.13	37.38	86.25	109.01	110.71	107.69	0.00	0.22	0.38	0.60	1.54	1.92	1.90	1.79
New Zealand	0.00	-1.15	-0.25	-3.28	-3.45	-4.04	-2.50	-2.97	0.00	-0.34	-0.20	-0.98	-1.10	-1.28	-0.97	-1.14
Austria	0.00	-2.28	-1.30	-7.89	-2.83	-4.43	-7.35	-7.41	0.00	-0.30	-0.21	-1.02	-0.44	-0.65	-1.04	-1.09
Belgium	0.00	-4.44	-0.30	-10.77	-2.34	-9.78	-15.48	-15.11	0.00	-0.49	-0.18	-1.22	-0.52	-1.28	-1.86	-1.86
Czech Republic	0.00	2.29	-3.01	-9.85	-7.51	-8.53	-13.36	-17.81	0.00	0.16	-0.47	-1.19	-0.99	-1.07	-1.54	-1.96
Denmark	0.00	-4.76	-7.73	-9.45	-8.94	-14.15	-19.31	-17.55	0.00	-0.91	-1.51	-1.87	-1.82	-2.79	-3.74	-3.45
Estonia	0.00	3.81	2.23	-0.77	3.12	2.18	0.91	3.33	0.00	2.90	1.78	-0.45	2.50	1.82	0.91	2.79
Finland	0.00	-2.02	-10.41	-12.88	-4.62	-12.00	-17.51	-17.00	0.00	-0.44	-2.07	-2.58	-1.09	-2.51	-3.58	-3.53
France	0.00	-7.83	-11.54	-27.27	-20.60	-50.23	-48.98	-45.11	0.00	-0.16	-0.25	-0.52	-0.44	-0.92	-0.92	-0.88
Germany	0.00	-32.35	-23.81	-78.82	-40.21	-67.84	-54.37	-39.66	0.00	-0.38	-0.26	-0.90	-0.42	-0.76	-0.61	-0.45
Greece	0.00	3.80	0.25	-3.94	-10.73	-11.99	-17.08	-25.26	0.00	0.31	-0.02	-0.40	-0.98	-1.07	-1.51	-2.21
