num,Country,CNTRY_CODE,2000,2013,Percent,Type
108,Nepal,NPL,0.13,0.18,0.38,CTRY
109,Pakistan,PAK,0.67,0.74,0.11,CTRY
110,Philippines,PHL,0.88,0.91,0.04,CTRY
111,Singapore,SGP,10.46,8.62,-0.18,CTRY
112,Sri Lanka,LKA,0.55,0.67,0.22,CTRY
113,"China, Republic of (Taiwan)",TWN,9.62,10.63,0.10,CTRY
114,Thailand,THA,2.44,3.69,0.51,CTRY
115,Vietnam,VNM,0.57,1.45,1.54,CTRY
116,Other Asia,OTAI,0.32,0.77,1.43,ECON
117,Asia (excl. China),ASIA,1.03,1.54,0.49,ECON
118,China,CHN,2.59,6.60,1.55,CTRY
119,"Hong Kong, China",HKG,6.05,6.41,0.06,CTRY
120,"China (incl. Hong Kong, China)",CHNA,2.61,6.60,1.53,ECON
121,Argentina,ARG,3.78,4.40,0.16,CTRY
122,Bolivia,BOL,0.84,1.62,0.93,CTRY
123,Brazil,BRA,1.67,2.26,0.35,CTRY
124,Colombia,COL,1.36,1.41,0.04,CTRY
125,Costa Rica,CRI,1.14,1.46,0.28,CTRY
126,Cuba,CUB,2.45,2.64,0.08,CTRY
127,Curacao,CUW,26.80,28.91,0.08,CTRY
128,Dominican Republic,DOM,1.87,1.89,0.01,CTRY
129,Ecuador,ECU,1.45,2.51,0.73,CTRY
130,El Salvador,SLV,0.87,0.91,0.05,CTRY
131,Guatemala,GTM,0.77,0.79,0.03,CTRY
132,Haiti,HTI,0.16,0.21,0.30,CTRY
133,Honduras,HND,0.72,1.04,0.45,CTRY
134,Jamaica,JAM,3.78,2.75,-0.27,CTRY
135,Nicaragua,NIC,0.69,0.69,0.00,CTRY
136,Panama,PAN,1.60,2.38,0.49,CTRY
137,Paraguay,PRY,0.61,0.73,0.18,CTRY
138,Peru,PER,1.02,1.50,0.48,CTRY
139,Trinidad and Tobago,TTO,7.97,17.12,1.15,CTRY
140,Uruguay,URY,1.53,2.09,0.36,CTRY
141,Venezuela,VEN,4.76,5.12,0.07,CTRY
142,Other Non-OECD Americas,OTAM,4.46,5.30,0.19,ECON
143,Non-OECD Americas,NOAM,1.93,2.39,0.24,ECON
144,Bahrain,BHR,23.71,21.24,-0.10,CTRY
145,Iran,IRN,4.74,6.79,0.43,CTRY
146,Iraq,IRQ,2.98,4.13,0.39,CTRY
147,Jordan,JOR,3.01,3.53,0.17,CTRY
148,Kuwait,KWT,24.29,24.96,0.03,CTRY
149,Lebanon,LBN,4.32,4.62,0.07,CTRY
150,Oman,OMN,9.30,15.95,0.71,CTRY
151,Qatar,QAT,35.78,33.38,-0.07,CTRY
152,Saudi Arabia,SAU,11.64,16.39,0.41,CTRY
153,Syria,SYR,2.26,1.47,-0.35,CTRY
154,United Arab Emirates,ARE,28.26,17.93,-0.37,CTRY
155,Yemen,YEM,0.76,0.98,0.29,CTRY
156,Middle East,MDES,5.53,7.57,0.37,ECON
157,European Union,EU28,7.76,6.57,-0.15,ECON
158,G7,GG07,13.50,11.64,-0.14,ECON
159,G8,GG08,12.90,11.51,-0.11,ECON
160,G20,GG20,4.71,5.73,0.22,ECON
161,World,WWWW,3.83,4.52,0.18,ECON
